"Teilnehmer","Startzeit","Endzeit","Quelle","To which gender do you assign to?","How old are you?","In which employment relationship are you at the moment?","How much do you like reading on a scale from 1 (not at all) to 10 (very much)? (Punkte von 1 bis 10) ","How often do you use print media (independent of which media you use)?","How often do you read in newspapers/ magazines etc.?","How often do you read in a book (meant here is literature you read in your free time like novels etc.)?","At which time of the day do you read normally? (Multiple choices are possible.) (in the morning)","At which time of the day do you read normally? (Multiple choices are possible.) (at noon)","At which time of the day do you read normally? (Multiple choices are possible.) (in the afternoon)","At which time of the day do you read normally? (Multiple choices are possible.) (in the evening)","At which time of the day do you read normally? (Multiple choices are possible.) (at night)","How relaxed do you feel after you've read a book on a scale from 1 (not at all relaxed) to 10 (very relaxed)? (Punkte von 1 bis 10) ","How difficult is it for you to focus on a book over a longer time period on a scale from 1 (not at all difficult) to 10 (very difficult)? (Punkte von 1 bis 10) ","How stressed do you feel after you've read a book on a scale from 1 (not at all stressed) to 10 (very stressed)? (Punkte von 1 bis 10) ","How exhausting is it for you to read a book on a scale of 1 (not at all exhausting) to 10 (very exhausting)? (Punkte von 1 bis 10) ","How often do you have symptoms like a headache, burning eyes etc. after you've read?","How motivated are you to become physically active after you've read a book on a scale of 1 (not at all motivated) to 10 (very motivated)? (Punkte von 1 bis 10) ","How often do you eat snacks during reading?","How much do you like watching movies / series on a scale from 1 (not at all) to 10 (very much)? (Punkte von 1 bis 10) ","How often do you use visual media (independent of which media you use)?","How often do you watch television broadcasts / movies / series etc. in the regular TV program?","How often do you use streaming services for watching movies / series?","At which time of the day do you watch movies / series normally? (Multiple choices are possible.) (in the morning)","At which time of the day do you watch movies / series normally? (Multiple choices are possible.) (at noon)","At which time of the day do you watch movies / series normally? (Multiple choices are possible.) (in the afternoon)","At which time of the day do you watch movies / series normally? (Multiple choices are possible.) (in the evening)","At which time of the day do you watch movies / series normally? (Multiple choices are possible.) (at night)","How relaxed do you feel after you've watched a movie / a series on a scale from 1 (not at all relaxed) to 10 (very relaxed)? (Punkte von 1 bis 10) ","How difficult is it for you to focus on a movie / a series over a longer time period on a scale from 1 (not at all difficult) to 10 (very difficult)? (Punkte von 1 bis 10) ","How stressed do you feel after you've watched a movie / a series on a scale from 1 (not at all stressed) to 10 (very stressed)? (Punkte von 1 bis 10) ","How exhausting is it for you to watch a movie / a series on a scale from 1 (not at all exhausting) to 10 (very exhausting)? (Punkte von 1 bis 10) ","How often do you have symptoms like a headache, burning eyes etc. after you've watched a movie / a series?","How motivated are you to become physically active after you've watched a movie / a series on a scale from 1 (not at all motivated) to 10 (very motivated)? (Punkte von 1 bis 10) ","How often do you eat snacks during watching a movie / a series?","What do you think is healthier?"
"35","25.06.2021 11:52:27","25.06.2021 12:09:15","Direkter Link","male","20","(university) student","5","sometimes","seldom","sometimes","0","0","0","1","0","7","7","3","4","often","4","seldom","10","often","never","very often","0","1","0","1","0","10","4","1","2","seldom","5","sometimes","Both is equally unhealthy."
"36","25.06.2021 12:10:11","25.06.2021 12:13:11","Direkter Link","female","20","(university) student","10","often","seldom","very often","0","0","0","1","1","9","1","2","1","never","5","often","10","often","seldom","very often","0","0","0","1","1","9","5","2","4","seldom","2","often","Both is equally healthy."
"37","25.06.2021 12:08:27","25.06.2021 12:17:45","Direkter Link","female","20","(university) student","10","very often","seldom","very often","0","0","1","0","0","9","3","2","1","sometimes","1","seldom","10","very often","seldom","very often","0","0","1","1","0","8","5","3","2","sometimes","1","very often","Reading a book is healthier."
"38","25.06.2021 12:15:53","25.06.2021 12:19:43","Direkter Link","female","20","(university) student","10","often","sometimes","often","0","0","1","1","0","8","1","1","1","seldom","3","never","8","often","never","sometimes","0","0","0","1","1","5","7","2","4","seldom","3","sometimes","Both is equally healthy."
"39","25.06.2021 12:16:27","25.06.2021 12:20:13","Direkter Link","female","21","(university) student","5","sometimes","seldom","seldom","1","0","1","0","0","6","2","2","1","seldom","3","never","9","often","seldom","sometimes","0","0","0","1","0","8","2","1","1","seldom","5","sometimes","Reading a book is healthier."
"40","25.06.2021 12:12:58","25.06.2021 12:22:24","Direkter Link","female","24","(university) student","9","often","seldom","sometimes","0","0","1","1","0","8","3","2","2","seldom","1","never","10","very often","seldom","often","0","0","1","1","0","5","2","3","2","seldom","1","sometimes","Reading a book is healthier."
"41","25.06.2021 12:19:55","25.06.2021 12:24:39","Direkter Link","female","21","(university) student","10","often","sometimes","often","0","0","0","1","0","8","1","1","2","never","5","seldom","10","often","often","often","0","0","0","1","1","7","10","1","1","seldom","5","sometimes","Reading a book is healthier."
"42","25.06.2021 12:25:58","25.06.2021 12:33:06","Direkter Link","female","45","employee","8","very often","often","often","0","0","1","1","0","7","6","2","4","seldom","3","seldom","10","very often","very often","never","0","0","0","1","1","7","5","3","2","seldom","4","sometimes","Both is equally healthy."
"43","25.06.2021 12:39:41","25.06.2021 12:44:36","Direkter Link","female","21","(university) student","10","very often","never","very often","1","0","1","0","0","10","2","2","2","seldom","5","never","10","very often","seldom","very often","0","0","1","1","0","6","2","4","2","sometimes","3","sometimes","Reading a book is healthier."
"44","25.06.2021 13:09:55","25.06.2021 13:13:30","Direkter Link","female","21","(university) student","10","often","sometimes","often","0","0","1","1","0","8","2","2","1","sometimes","7","seldom","10","often","never","often","0","0","0","1","0","5","7","2","7","sometimes","8","often","Reading a book is healthier."
"45","25.06.2021 14:13:32","25.06.2021 14:16:46","Direkter Link","female","21","(university) student","9","often","sometimes","often","0","0","1","1","0","10","3","1","1","sometimes","2","often","10","very often","seldom","very often","0","0","1","1","1","10","1","1","1","seldom","2","often","Reading a book is healthier."
"46","25.06.2021 18:36:39","25.06.2021 18:40:53","Direkter Link","female","20","(university) student","7","very often","often","sometimes","1","0","1","1","0","7","5","3","5","seldom","2","seldom","9","very often","seldom","often","1","0","1","1","0","8","2","2","1","seldom","2","sometimes","Reading a book is healthier."
"47","25.06.2021 23:03:48","25.06.2021 23:08:18","Direkter Link","female","20","(university) student","7","sometimes","seldom","often","1","1","1","0","0","4","10","5","10","very often","7","sometimes","10","very often","often","very often","0","0","1","1","1","4","2","5","6","seldom","3","sometimes","Both is equally healthy."
"48","26.06.2021 20:11:40","26.06.2021 20:16:42","Direkter Link","male","23","(university) student","10","seldom","seldom","seldom","0","0","0","1","0","7","7","1","1","never","5","seldom","8","very often","never","very often","0","0","0","1","1","5","2","2","1","seldom","1","sometimes","Reading a book is healthier."
"49","26.06.2021 20:20:36","26.06.2021 20:25:00","Direkter Link","female","35","employee","6","sometimes","sometimes","seldom","0","0","0","1","0","5","2","2","2","never","3","seldom","5","often","seldom","sometimes","0","0","0","1","0","5","3","2","2","never","4","seldom","Reading a book is healthier."
"50","27.06.2021 09:02:25","27.06.2021 09:07:21","Direkter Link","female","22","(university) student","8","sometimes","seldom","often","1","0","1","0","0","9","6","2","4","never","2","never","10","very often","seldom","very often","0","0","0","1","0","5","4","6","2","sometimes","3","sometimes","Both is equally unhealthy."
"51","27.06.2021 10:56:58","27.06.2021 11:00:25","Direkter Link","male","26","(university) student","6","often","sometimes","seldom","0","0","0","1","1","8","8","3","5","never","7","seldom","3","very often","never","seldom","0","0","0","1","1","7","5","3","4","seldom","8","seldom","Both is equally healthy."
"52","27.06.2021 14:23:40","27.06.2021 14:28:24","Direkter Link","female","44","employee","10","very often","very often","often","0","0","1","1","1","5","2","1","2","seldom","3","seldom","7","sometimes","seldom","sometimes","1","0","0","0","0","5","1","5","2","seldom","3","often","Reading a book is healthier."
"53","28.06.2021 09:22:05","28.06.2021 09:28:42","Direkter Link","male","21","(university) student","7","sometimes","often","seldom","0","0","0","1","1","8","6","1","4","seldom","8","never","10","sometimes","sometimes","sometimes","0","1","1","1","0","8","1","1","1","never","9","seldom","Reading a book is healthier."
"54","28.06.2021 09:39:21","28.06.2021 09:44:27","Direkter Link","female","27","employee","9","very often","seldom","often","1","0","1","1","0","9","2","1","2","never","6","seldom","8","sometimes","never","never","0","0","0","1","0","7","2","5","5","seldom","3","sometimes","Reading a book is healthier."
"55","28.06.2021 14:22:23","28.06.2021 14:28:09","Direkter Link","female","51","employee","10","sometimes","sometimes","often","0","0","0","1","0","10","5","1","1","sometimes","6","never","9","sometimes","sometimes","sometimes","0","0","1","1","0","9","8","8","2","sometimes","10","sometimes","Reading a book is healthier."
"56","28.06.2021 20:30:33","28.06.2021 20:36:03","Direkter Link","male","21","trainee","8","often","sometimes","often","0","1","1","0","1","9","1","1","1","never","3","sometimes","5","very often","never","sometimes","0","0","0","1","1","6","6","2","2","never","1","often","Reading a book is healthier."
"57","01.07.2021 17:58:12","01.07.2021 18:00:54","Direkter Link","male","24","(university) student","6","sometimes","sometimes","sometimes","1","1","1","1","1","5","5","2","5","never","7","seldom","8","very often","very often","very often","0","1","0","1","0","8","6","3","5","seldom","4","very often","Reading a book is healthier."
"58","03.07.2021 15:27:33","03.07.2021 15:35:15","Direkter Link","female","21","(university) student","10","sometimes","seldom","often","0","0","0","1","1","10","3","1","2","seldom","4","seldom","8","very often","sometimes","very often","0","0","0","1","1","8","4","4","4","sometimes","2","often","Reading a book is healthier."
"59","23.06.2021 13:37:18","23.06.2021 13:40:59","Direkter Link","female","27","employee","9","sometimes","sometimes","sometimes","0","0","1","1","0","5","5","2","2","seldom","1","seldom","9","often","seldom","sometimes","0","0","0","1","0","5","1","2","1","seldom","1","often","Both is equally healthy."
"60","23.06.2021 18:21:13","23.06.2021 18:26:31","Direkter Link","male","52","employee","4","seldom","sometimes","seldom","0","0","0","1","0","5","5","3","5","sometimes","5","sometimes","10","often","sometimes","very often","0","0","0","1","1","10","1","1","1","seldom","10","often","Both is equally healthy."
"61","24.06.2021 21:49:15","24.06.2021 21:51:55","Direkter Link","female","19","(university) student","10","often","often","often","1","0","0","1","0","10","10","1","6","never","5","often","6","very often","often","never","0","0","0","1","0","10","5","5","8","often","6","often","Reading a book is healthier."
"62","25.06.2021 11:28:08","25.06.2021 11:32:56","Direkter Link","diverse","27","(university) student","9","often","often","sometimes","0","0","0","1","1","8","6","2","5","never","2","never","3","often","never","sometimes","0","0","0","1","1","4","6","3","2","never","3","seldom","Both is equally healthy."
"63","25.06.2021 15:20:25","25.06.2021 15:28:35","Direkter Link","female","22","(university) student","10","very often","sometimes","sometimes","1","1","1","1","1","6","2","3","4","seldom","9","never","10","very often","seldom","very often","0","1","1","1","1","6","1","5","2","sometimes","3","very often","Both is equally healthy."
